ID,Nombre,Peso Original,Fecha Creacion,Suma Peso Renditions
1187757214001,"Izarra muestra video de Chávez con Fidel en "Una fresca mañana habanera" (28/06/11)",7523708,2011-09-28,0.0
1187757218001,"Representantes de los Poderes Públicos manifiestan apoyo a Chávez 01/07/11",12437390,2011-09-28,0.0
1187785382001,"Chávez realiza rehabilitación en la Academia Militar (11/07/11)",9237678,2011-09-28,0.0
1187785385001,"Chávez no podía faltar a la fiesta bicentenaria (04/07/11)",25982114,2011-09-28,0.0
1190506985001,"Lago de Valencia: El regreso de las aguas",25226430,2011-09-29,144122201.0
1190707252001,"El presidente Chávez realiza sus entrenamientos",26628915,2011-09-29,255706257.0
1190708471001,"Chávez aclara sobre su estado de salud",10130222,2011-09-29,32654147.0
1190772917001,"Impase de periodista internacional en rueda de prensa de Chávez",8877179,2011-09-29,51842834.0
1190847849001,"Chávez recibió parte de desfile via satélite (06/07/11)",10504309,2011-09-29,0.0
1190924906001,"Imágenes tren del tuy accidentado",8642935,2011-09-29,81946768.0
1192898968001,"Bocaranda editor invitado 58 aniversario",4349489,2011-09-30,41870281.0
1193050508001,"Vivir con miedo en San Agustín",5110823,2011-09-30,44461742.0
1193082759001,"Vivir con miedo en Juan Pablo II",5645559,2011-09-30,52706196.0
1193567180001,"Chávez habla de la campaña electoral en vista de las elecciones presidenciales 2012 01/10/11",7842462,2011-10-01,18422929.0
1194518767001,"Capriles anuncia su candidatura a las presidenciales 2012",25463615,2011-10-01,151564176.0
1195045800001,"Caracas Rock décima edición",7916204,2011-10-02,74531143.0
1195045817001,"Indigndos de Wall Street siguen protesta",5291337,2011-10-02,10735006.0
1195045829001,"Matrona Candelaria García interpela a Chávez",9879786,2011-10-02,89601102.0
1197833171001,"Comienza repatriación de CAP",7906478,2011-10-03,16000996.0
1199961126001,"Ecuador va por la revancha ante Venezuela",3724736,2011-10-04,7458941.0
1200287326001,"Tren involucrado en el accidente del Tuy medio está bajo lonas",1751334,2011-10-04,16844439.0
1202067279001,"Galileo satélite del sistema de navegación europeo",2950745,2011-10-05,5820727.0
1202125548001,"Boda de la Duquesa de Alba",2312436,2011-10-05,4638909.0
